,Unnamed: 0,Date, Close, Volume, Open, High, Low,Symbol
0,0,2020/10/12,192.3,2506008,196.53,197.25,190.76,BYND
1,1,2020/10/09,194.95,3107515,194.66,195.91,190.45,BYND
2,2,2020/10/08,193.38,5878861,193.0,197.5,188.64,BYND
3,3,2020/10/07,189.14,5167850,184.65,191.6,184.2,BYND
4,4,2020/10/06,181.86,8478843,176.23,186.7,175.0,BYND
5,5,2020/10/05,175.49,4163209,168.65,175.89,166.76,BYND
6,6,2020/10/02,166.24,2949030,165.59,171.75,164.81,BYND
7,7,2020/10/01,170.6,4729154,169.24,172.69,165.88,BYND
8,8,2020/09/30,166.06,6050715,164.83,172.45,163.84,BYND
9,9,2020/09/29,165.66,20654970,160.0,170.45,159.15,BYND
10,10,2020/09/28,151.3,2675858,158.2,160.0,150.41,BYND
11,11,2020/09/25,155.02,2569214,149.47,155.91,148.0,BYND
12,12,2020/09/24,147.9,2461122,148.51,150.97,144.7,BYND
13,13,2020/09/23,150.57,2890852,154.44,157.5,149.41,BYND
14,14,2020/09/22,153.82,8806287,150.53,162.5,150.38,BYND
15,15,2020/09/21,148.8,3839272,144.26,149.07,140.31,BYND
16,16,2020/09/18,149.04,8810022,150.0,153.44,146.02,BYND
17,17,2020/09/17,157.22,4795981,150.5,157.58,149.26,BYND
18,18,2020/09/16,156.57,8254012,147.48,158.6,146.16,BYND
19,19,2020/09/15,146.48,4324387,144.12,150.0,141.41,BYND
20,20,2020/09/14,143.18,4812042,136.15,145.37,136.05,BYND
21,21,2020/09/11,134.88,3989222,144.0,144.07,132.45,BYND
22,22,2020/09/10,143.04,8189288,139.4,149.57,138.59,BYND
23,23,2020/09/09,138.17,4381364,132.5,139.47,132.25,BYND
24,24,2020/09/08,134.47,7318283,123.81,137.78,123.45,BYND
25,25,2020/09/04,125.82,4671068,130.62,134.72,120.55,BYND
26,26,2020/09/03,129.8,10864310,133.01,142.5,128.71,BYND
27,27,2020/09/02,129.7,3004880,135.99,135.99,129.4,BYND
28,28,2020/09/01,135.24,2600321,136.05,136.68,131.8,BYND
29,29,2020/08/31,135.85,4298669,135.21,138.25,133.1,BYND
30,30,2020/08/28,131.02,2874285,132.28,134.64,129.59,BYND
31,31,2020/08/27,132.15,10979530,129.5,138.5,128.78,BYND
32,32,2020/08/26,125.52,2258436,124.4,126.13,123.36,BYND
33,33,2020/08/25,124.51,1930232,125.0,125.83,123.01,BYND
34,34,2020/08/24,124.51,1915132,126.24,127.4,123.75,BYND
35,35,2020/08/21,126.0,1791763,127.13,128.67,125.3,BYND
36,36,2020/08/20,127.92,2546505,124.58,129.64,123.27,BYND
37,37,2020/08/19,125.35,3013490,124.31,126.74,121.35,BYND
38,38,2020/08/18,124.31,2111181,125.15,126.64,122.67,BYND
39,39,2020/08/17,125.5,1708391,125.56,126.75,123.96,BYND
40,40,2020/08/14,125.04,1426121,127.05,127.35,124.65,BYND
41,41,2020/08/13,126.99,2528227,124.83,127.45,124.5,BYND
42,42,2020/08/12,123.83,3609939,126.28,126.77,123.09,BYND
43,43,2020/08/11,125.5,2602927,127.38,128.57,124.4,BYND
44,44,2020/08/10,127.43,3538878,132.2,132.57,124.66,BYND
45,45,2020/08/07,131.51,3478630,132.33,135.98,130.5,BYND
46,46,2020/08/06,132.58,3954018,133.53,136.23,131.57,BYND
47,47,2020/08/05,132.69,10613670,130.14,138.39,130.0,BYND
48,48,2020/08/04,142.25,10277620,138.67,142.51,134.16,BYND
49,49,2020/08/03,134.32,5635003,128.65,134.4,127.15,BYND
50,50,2020/07/31,125.9,2964273,124.09,125.9,122.41,BYND
51,51,2020/07/30,123.32,2667629,126.14,127.14,122.11,BYND
52,52,2020/07/29,126.68,2110937,126.5,128.34,125.21,BYND
53,53,2020/07/28,125.43,2062421,124.95,129.58,124.95,BYND
54,54,2020/07/27,126.72,2912188,125.25,126.78,122.25,BYND
55,55,2020/07/24,125.09,2700867,124.02,126.4,120.32,BYND
56,56,2020/07/23,127.15,3561641,130.08,132.8,124.56,BYND
57,57,2020/07/22,130.57,2716749,130.15,133.07,128.7,BYND
58,58,2020/07/21,129.92,5015951,129.84,135.92,128.75,BYND
59,59,2020/07/20,128.5,2487324,128.31,129.13,126.51,BYND
60,60,2020/07/17,128.27,2693391,128.67,129.74,126.6,BYND
61,61,2020/07/16,128.45,5508597,129.59,133.6,126.46,BYND
62,62,2020/07/15,131.75,6835827,129.12,135.66,126.87,BYND
63,63,2020/07/14,127.78,3448069,126.01,129.99,125.27,BYND
64,64,2020/07/13,125.98,6980858,135.1,136.17,125.88,BYND
65,65,2020/07/10,135.03,5998305,135.21,136.65,130.75,BYND
66,66,2020/07/09,141.22,4505223,145.0,145.5,136.5,BYND
67,67,2020/07/08,144.98,3049115,143.41,145.95,140.75,BYND
68,68,2020/07/07,143.11,4844598,142.59,146.45,138.5,BYND
69,69,2020/07/06,143.0,4625862,143.0,144.72,140.15,BYND
70,70,2020/07/02,140.72,4938832,146.66,146.95,140.3,BYND
71,71,2020/07/01,141.64,14713360,146.67,151.53,138.77,BYND
72,72,2020/06/30,133.98,4915787,132.79,136.61,130.55,BYND
73,73,2020/06/29,131.55,10411260,133.65,134.21,125.0,BYND
74,74,2020/06/26,141.68,4284353,143.78,146.0,140.25,BYND
75,75,2020/06/25,145.35,13608760,149.0,151.75,136.0,BYND
76,76,2020/06/24,151.38,5063373,150.09,156.58,148.5,BYND
77,77,2020/06/23,152.79,7571077,159.42,160.14,151.56,BYND
78,78,2020/06/22,159.63,5035031,161.39,164.96,158.6,BYND
79,79,2020/06/19,158.28,7732060,160.2,165.46,156.87,BYND
80,80,2020/06/18,158.2,6264252,157.26,160.97,154.88,BYND
81,81,2020/06/17,156.34,16144350,155.98,167.16,154.37,BYND
82,82,2020/06/16,151.94,4806318,156.5,157.35,147.54,BYND
83,83,2020/06/15,154.0,6470464,142.6,154.4,141.01,BYND
84,84,2020/06/12,144.74,5704968,151.33,151.94,141.65,BYND
85,85,2020/06/11,143.51,9487201,147.21,155.24,140.25,BYND
86,86,2020/06/10,156.16,8852260,155.0,163.08,153.65,BYND
87,87,2020/06/09,153.95,13834050,156.71,161.54,148.56,BYND
88,88,2020/06/08,162.46,20318890,137.02,163.22,135.75,BYND
89,89,2020/06/05,133.53,4611995,136.05,137.89,132.77,BYND
90,90,2020/06/04,136.44,7779604,133.86,142.21,133.16,BYND
91,91,2020/06/03,134.23,4649008,135.0,138.45,133.22,BYND
92,92,2020/06/02,135.19,6732949,136.13,136.75,132.14,BYND
93,93,2020/06/01,138.69,11557780,134.31,139.2,133.28,BYND
94,94,2020/05/29,128.29,7684516,122.15,129.0,121.5,BYND
95,95,2020/05/28,120.82,5003373,121.55,126.6,120.0,BYND
96,96,2020/05/27,123.15,10083680,130.71,131.98,116.0,BYND
97,97,2020/05/26,132.87,4639144,139.83,139.88,131.5,BYND
98,98,2020/05/22,136.8,3318570,137.26,139.38,135.07,BYND
99,99,2020/05/21,138.11,5531806,141.03,141.92,134.45,BYND
100,100,2020/05/20,140.5,9777919,142.07,144.92,137.04,BYND
101,101,2020/05/19,136.2,13729720,132.73,142.0,132.67,BYND
102,102,2020/05/18,130.03,8031608,137.49,137.95,128.81,BYND
103,103,2020/05/15,134.16,8232888,134.98,140.2,132.63,BYND
104,104,2020/05/14,135.41,12681820,133.49,141.0,131.21,BYND
