Date, Close/Last, Volume, Open, High, Low,Symbol
10/12/2020,$221.68 ,5775833,$226.20 ,$227 ,$221.35 ,ROKU
10/9/2020,$223.95 ,7254511,$226.05 ,$226.83 ,$221.63 ,ROKU
10/8/2020,$223.84 ,12767710,$221.96 ,$228.33 ,$219.33 ,ROKU
10/7/2020,$212.55 ,5165809,$207.95 ,$214.26 ,$207.50 ,ROKU
10/6/2020,$204.83 ,5504880,$203.76 ,$208.96 ,$202.66 ,ROKU
10/5/2020,$204.16 ,5171513,$201.39 ,$204.94 ,$197.95 ,ROKU
10/2/2020,$200 ,7415315,$195.37 ,$203.56 ,$194.80 ,ROKU
10/1/2020,$200.34 ,9732140,$192.83 ,$200.47 ,$192.70 ,ROKU
9/30/2020,$188.80 ,6795956,$187.89 ,$193.55 ,$185.86 ,ROKU
9/29/2020,$187.87 ,6243442,$186.20 ,$190.34 ,$183.22 ,ROKU
9/28/2020,$186.29 ,5653581,$185 ,$189.01 ,$181.66 ,ROKU
9/25/2020,$182.43 ,8288036,$182.67 ,$186.96 ,$176.63 ,ROKU
9/24/2020,$178.27 ,10836110,$183.57 ,$184.97 ,$177.68 ,ROKU
9/23/2020,$187.25 ,18585120,$193.49 ,$200.73 ,$185 ,ROKU
9/22/2020,$193.79 ,20693160,$187.38 ,$195.36 ,$182.50 ,ROKU
9/21/2020,$188.82 ,35514980,$166.05 ,$189.80 ,$163.54 ,ROKU
9/18/2020,$160.47 ,9286668,$165.23 ,$165.78 ,$157.54 ,ROKU
9/17/2020,$164.67 ,6320792,$165.86 ,$168.13 ,$161.36 ,ROKU
9/16/2020,$169.99 ,8092496,$168 ,$174.19 ,$167.71 ,ROKU
9/15/2020,$168.52 ,10223590,$162.72 ,$170.44 ,$161.77 ,ROKU
9/14/2020,$157.73 ,5009864,$157.06 ,$160.20 ,$155.40 ,ROKU
9/11/2020,$155.46 ,5037086,$160.75 ,$161.50 ,$152.62 ,ROKU
9/10/2020,$159.44 ,5310831,$162.24 ,$168.60 ,$158.93 ,ROKU
9/9/2020,$161.18 ,6125401,$166.07 ,$166.80 ,$159.08 ,ROKU
9/8/2020,$162.63 ,11271260,$155.08 ,$170.44 ,$155 ,ROKU
9/4/2020,$159.91 ,7218555,$165 ,$167.42 ,$150.38 ,ROKU
9/3/2020,$166.90 ,8175479,$172.18 ,$176.48 ,$165.08 ,ROKU
9/2/2020,$178.32 ,8279562,$183.76 ,$183.76 ,$171.03 ,ROKU
9/1/2020,$179.27 ,10575670,$177.00 ,$185.44 ,$176.63 ,ROKU
8/31/2020,$173.48 ,10227090,$172.51 ,$175.51 ,$168.06 ,ROKU
8/28/2020,$172.85 ,26709830,$162 ,$177.54 ,$161.50 ,ROKU
8/27/2020,$160.97 ,7424980,$162.59 ,$166.15 ,$157.86 ,ROKU
8/26/2020,$164.28 ,17714780,$151.61 ,$167.17 ,$151.13 ,ROKU
8/25/2020,$147.77 ,3577572,$148 ,$148.72 ,$145.86 ,ROKU
8/24/2020,$148.58 ,4350896,$149.50 ,$149.70 ,$145.60 ,ROKU
8/21/2020,$147.13 ,3544280,$148.95 ,$150.56 ,$146.60 ,ROKU
8/20/2020,$148.89 ,4492910,$147.31 ,$151.89 ,$146.42 ,ROKU
8/19/2020,$147.37 ,4333671,$149 ,$150.89 ,$146.17 ,ROKU
8/18/2020,$149.85 ,5945820,$147.30 ,$152.19 ,$146.51 ,ROKU
8/17/2020,$145.71 ,4907425,$147.77 ,$148.27 ,$143.36 ,ROKU
8/14/2020,$146.85 ,3854973,$150.85 ,$152.50 ,$146.20 ,ROKU
8/13/2020,$149.97 ,5544661,$148.62 ,$152.01 ,$146.81 ,ROKU
8/12/2020,$146.98 ,10277180,$151.45 ,$153.85 ,$146.66 ,ROKU
8/11/2020,$146.41 ,5630840,$149.28 ,$152.25 ,$143.21 ,ROKU
8/10/2020,$150.41 ,6280343,$157.42 ,$157.79 ,$147.56 ,ROKU
8/7/2020,$156.39 ,15904120,$154.45 ,$164.73 ,$153.39 ,ROKU
8/6/2020,$153.87 ,19647040,$159.57 ,$160.50 ,$150.05 ,ROKU
8/5/2020,$165.42 ,12796110,$164.85 ,$169.14 ,$163.75 ,ROKU
8/4/2020,$166.44 ,8704308,$164.23 ,$168.15 ,$163.31 ,ROKU
8/3/2020,$161.82 ,8886606,$158.36 ,$163.42 ,$156.62 ,ROKU
7/31/2020,$154.89 ,8087277,$153.61 ,$158.27 ,$151.12 ,ROKU
7/30/2020,$150.35 ,3458186,$150.16 ,$154.02 ,$149.24 ,ROKU
7/29/2020,$151.57 ,4599213,$150 ,$154.42 ,$149.20 ,ROKU
7/28/2020,$148.75 ,5496831,$154.39 ,$155.95 ,$148.50 ,ROKU
7/27/2020,$155.97 ,5140619,$153.34 ,$156.58 ,$151.55 ,ROKU
7/24/2020,$151.17 ,4891509,$147.24 ,$153.10 ,$145.17 ,ROKU
7/23/2020,$150.16 ,7138757,$152.22 ,$158.47 ,$148.04 ,ROKU
7/22/2020,$152.17 ,3576100,$153.53 ,$156 ,$150.82 ,ROKU
7/21/2020,$153.36 ,9381667,$152.78 ,$159.06 ,$150.22 ,ROKU
7/20/2020,$150.46 ,6177844,$148.78 ,$151.63 ,$146.58 ,ROKU
7/17/2020,$148.36 ,6527409,$150.99 ,$153.71 ,$147.95 ,ROKU
7/16/2020,$153.31 ,8910187,$152.72 ,$157.28 ,$149.48 ,ROKU
7/15/2020,$154.21 ,9203160,$150.98 ,$155.88 ,$147.59 ,ROKU
7/14/2020,$150.36 ,12712260,$149.51 ,$156.36 ,$142.15 ,ROKU
7/13/2020,$149.06 ,18541460,$158.99 ,$166.18 ,$147.42 ,ROKU
7/10/2020,$153.05 ,24628170,$147.82 ,$159.88 ,$147.26 ,ROKU
7/9/2020,$149.69 ,25309440,$136.50 ,$149.98 ,$136.28 ,ROKU
7/8/2020,$133.76 ,6408142,$131.88 ,$135.14 ,$130.70 ,ROKU
7/7/2020,$130.42 ,7458937,$131.69 ,$135.81 ,$129.40 ,ROKU
7/6/2020,$132.03 ,10413880,$130.86 ,$135.97 ,$128.66 ,ROKU
7/2/2020,$128.65 ,12158070,$128.47 ,$132.50 ,$125.20 ,ROKU
7/1/2020,$128.39 ,15001830,$117.30 ,$129.44 ,$116.35 ,ROKU
6/30/2020,$116.53 ,5845926,$115.10 ,$117.87 ,$113.88 ,ROKU
6/29/2020,$115.05 ,12073780,$122.40 ,$123.21 ,$112.11 ,ROKU
6/26/2020,$122.55 ,7984056,$124.82 ,$126.55 ,$120.26 ,ROKU
6/25/2020,$123.60 ,4810116,$123 ,$125 ,$120.57 ,ROKU
6/24/2020,$123.35 ,8242087,$127.13 ,$129.93 ,$120.42 ,ROKU
6/23/2020,$127.88 ,8997654,$131 ,$132.42 ,$127.33 ,ROKU
6/22/2020,$129.78 ,13285640,$129.50 ,$134.81 ,$128.51 ,ROKU
6/19/2020,$128.50 ,18937190,$128.17 ,$132.17 ,$124.75 ,ROKU
6/18/2020,$127.79 ,19343500,$117.75 ,$129.19 ,$117.73 ,ROKU
6/17/2020,$117.32 ,14462360,$119.48 ,$123.10 ,$115.78 ,ROKU
6/16/2020,$120.81 ,17193430,$109.81 ,$120.85 ,$107.70 ,ROKU
6/15/2020,$107.49 ,5940034,$107.17 ,$107.64 ,$103.94 ,ROKU
6/12/2020,$108.07 ,7460366,$108.81 ,$110.16 ,$105.30 ,ROKU
6/11/2020,$106.95 ,8314027,$108.69 ,$114.92 ,$106.24 ,ROKU
6/10/2020,$113.80 ,8123735,$114.49 ,$116.28 ,$110.22 ,ROKU
6/9/2020,$113.25 ,9760459,$112.44 ,$115.17 ,$108.60 ,ROKU
6/8/2020,$112.95 ,9120362,$105.53 ,$113.02 ,$103.97 ,ROKU
6/5/2020,$104.38 ,10496240,$103.95 ,$104.50 ,$100.19 ,ROKU
6/4/2020,$102.93 ,11763660,$104 ,$107.75 ,$101.80 ,ROKU
6/3/2020,$103.96 ,13477490,$111 ,$111.35 ,$103.90 ,ROKU
6/2/2020,$110.82 ,6356971,$113.72 ,$114.38 ,$108.87 ,ROKU
6/1/2020,$112.95 ,6974119,$109.17 ,$114.20 ,$108.40 ,ROKU
5/29/2020,$109.51 ,6830394,$109.85 ,$112.12 ,$107.31 ,ROKU
5/28/2020,$109.20 ,7472425,$105.63 ,$110.84 ,$104.88 ,ROKU
5/27/2020,$106.56 ,7960772,$107.34 ,$109.09 ,$101.56 ,ROKU
5/26/2020,$107.59 ,8255852,$110.21 ,$111.66 ,$107.30 ,ROKU
5/22/2020,$108.51 ,11992020,$111.63 ,$114.40 ,$107.62 ,ROKU
5/21/2020,$114.70 ,7715740,$116.36 ,$116.56 ,$112.07 ,ROKU
5/20/2020,$117.04 ,8665556,$118.50 ,$119.92 ,$114.25 ,ROKU
5/19/2020,$116.02 ,6676783,$118.87 ,$119.99 ,$115.03 ,ROKU
5/18/2020,$118.45 ,9362843,$114.53 ,$120.09 ,$114.52 ,ROKU
5/15/2020,$112.93 ,9708498,$115.82 ,$116.79 ,$112.48 ,ROKU
5/14/2020,$116.60 ,12161100,$117.50 ,$120.70 ,$115.06 ,ROKU
5/13/2020,$117.56 ,18672260,$128.28 ,$128.55 ,$114.60 ,ROKU
5/12/2020,$127.16 ,11524270,$132.69 ,$134.98 ,$126.68 ,ROKU
5/11/2020,$132.18 ,14463850,$125.02 ,$132.88 ,$124.60 ,ROKU
5/8/2020,$126.66 ,29648140,$125.57 ,$133.67 ,$124.35 ,ROKU
5/7/2020,$137.50 ,22127780,$131.20 ,$138.79 ,$130.28 ,ROKU
5/6/2020,$127.52 ,10567090,$123.54 ,$128.95 ,$122.51 ,ROKU
