Date, Close/Last, Volume, Open, High, Low,Symbol
10/12/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
10/9/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
10/8/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
10/7/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
10/6/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
10/5/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
10/2/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
10/1/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/30/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/29/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/28/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/25/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/24/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/23/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/22/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/21/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/18/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/17/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/16/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/15/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/14/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/11/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/10/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/9/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/8/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/4/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/3/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/2/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
9/1/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/31/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/28/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/27/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/26/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/25/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/24/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/21/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/20/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/19/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/18/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/17/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/14/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/13/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/12/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/11/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/10/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/7/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/6/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/5/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/4/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
8/3/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/31/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/30/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/29/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/28/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/27/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/24/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/23/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/22/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/21/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/20/2020,$19.68 , N/A,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/17/2020,$19.68 ,300,$19.68 ,$19.68 ,$19.68 ,VNFTF
7/16/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/15/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/14/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/13/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/10/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/9/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/8/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/7/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/6/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/2/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
7/1/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
6/30/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
6/29/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
6/26/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
6/25/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
6/24/2020,$19.70 , N/A,$19.70 ,$19.70 ,$19.70 ,VNFTF
