,Date, Close, Volume, Open, High, Low,Symbol
0,10/12/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
1,10/9/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
2,10/8/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
3,10/7/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
4,10/6/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
5,10/5/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
6,10/2/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
7,10/1/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
8,9/30/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
9,9/29/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
10,9/28/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
11,9/25/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
12,9/24/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
13,9/23/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
14,9/22/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
15,9/21/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
16,9/18/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
17,9/17/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
18,9/16/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
19,9/15/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
20,9/14/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
21,9/11/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
22,9/10/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
23,9/9/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
24,9/8/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
25,9/4/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
26,9/3/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
27,9/2/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
28,9/1/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
29,8/31/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
30,8/28/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
31,8/27/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
32,8/26/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
33,8/25/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
34,8/24/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
35,8/21/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
36,8/20/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
37,8/19/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
38,8/18/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
39,8/17/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
40,8/14/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
41,8/13/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
42,8/12/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
43,8/11/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
44,8/10/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
45,8/7/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
46,8/6/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
47,8/5/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
48,8/4/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
49,8/3/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
50,7/31/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
51,7/30/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
52,7/29/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
53,7/28/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
54,7/27/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
55,7/24/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
56,7/23/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
57,7/22/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
58,7/21/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
59,7/20/2020,19.68 , N/A,19.68 ,19.68 ,19.68 ,VNFTF
60,7/17/2020,19.68 ,300,19.68 ,19.68 ,19.68 ,VNFTF
61,7/16/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
62,7/15/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
63,7/14/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
64,7/13/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
65,7/10/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
66,7/9/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
67,7/8/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
68,7/7/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
69,7/6/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
70,7/2/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
71,7/1/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
72,6/30/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
73,6/29/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
74,6/26/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
75,6/25/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
76,6/24/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
77,6/23/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
78,6/22/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
79,6/19/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
80,6/18/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
81,6/17/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
82,6/16/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
83,6/15/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
84,6/12/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
85,6/11/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
86,6/10/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
87,6/9/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
88,6/8/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
89,6/5/2020,19.70 , N/A,19.70 ,19.70 ,19.70 ,VNFTF
90,6/4/2020,19.70 ,1004,19.70 ,19.70 ,19.70 ,VNFTF
91,6/3/2020,18.77 , N/A,18.77 ,18.77 ,18.77 ,VNFTF
92,6/2/2020,18.77 , N/A,18.77 ,18.77 ,18.77 ,VNFTF
93,6/1/2020,18.77 , N/A,18.77 ,18.77 ,18.77 ,VNFTF
94,5/29/2020,18.77 , N/A,18.77 ,18.77 ,18.77 ,VNFTF
95,5/28/2020,18.77 , N/A,18.77 ,18.77 ,18.77 ,VNFTF
96,5/27/2020,18.77 ,1092,18.77 ,18.77 ,18.77 ,VNFTF
97,5/26/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
98,5/22/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
99,5/21/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
100,5/20/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
101,5/19/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
102,5/18/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
103,5/15/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
104,5/14/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
105,5/13/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
106,5/12/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
107,5/11/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
108,5/8/2020,27.60 , N/A,27.60 ,27.60 ,27.60 ,VNFTF
